523.020992596143,Eigenvalue 1
-23.82148023211679,Eigenvalue 2
-17.853205303995573,Eigenvalue 3
-10.592860576883105,Eigenvalue 4
-9.19587966621162,Eigenvalue 5
-6.773957692954881,Eigenvalue 6
-6.145857241739491,Eigenvalue 7
-5.511387555130632,Eigenvalue 8
-4.8853947766874795,Eigenvalue 9
-4.516825453842759,Eigenvalue 10
-4.163913527124253,Eigenvalue 11
-3.9502542481900025,Eigenvalue 12
-3.5053679968831544,Eigenvalue 13
-3.2715459556104336,Eigenvalue 14
-2.8365103312100772,Eigenvalue 15
-2.759855792720149,Eigenvalue 16
-2.6743805824324944,Eigenvalue 17
-2.6572940430820946,Eigenvalue 18
-2.527250698195063,Eigenvalue 19
-2.4504607652840824,Eigenvalue 20
-2.3214062542459364,Eigenvalue 21
-2.288700162067601,Eigenvalue 22
-2.208374904299999,Eigenvalue 23
-2.179198199619325,Eigenvalue 24
-2.1422605737205638,Eigenvalue 25
-2.077786763415329,Eigenvalue 26
-2.0289895810350935,Eigenvalue 27
-1.9963213181639532,Eigenvalue 28
-1.9508857220052789,Eigenvalue 29
-1.944166716849514,Eigenvalue 30
-1.9188876395988752,Eigenvalue 31
-1.9021126465833722,Eigenvalue 32
-0.11012351589027806,Eigenvalue 33
-1.8587479038209744,Eigenvalue 34
-1.8397504362146198,Eigenvalue 35
-1.814151006765902,Eigenvalue 36
-0.22277963142022303,Eigenvalue 37
-1.752568166320212,Eigenvalue 38
-1.7456437809339622,Eigenvalue 39
-1.717804856468325,Eigenvalue 40
-1.697527392588921,Eigenvalue 41
-1.6743007329925972,Eigenvalue 42
-1.667118240206584,Eigenvalue 43
-1.6530744478923087,Eigenvalue 44
-1.641106715550109,Eigenvalue 45
-1.6280911671514438,Eigenvalue 46
-1.6194267864175709,Eigenvalue 47
-1.6031082313675655,Eigenvalue 48
-1.5827321289111822,Eigenvalue 49
-1.5747503330574388,Eigenvalue 50
-1.5622508944598603,Eigenvalue 51
-1.534708424747921,Eigenvalue 52
-1.5277163612320739,Eigenvalue 53
-1.5204468396720492,Eigenvalue 54
-1.5142372418295813,Eigenvalue 55
-1.4912477426023254,Eigenvalue 56
